folder,markdown_count
Python/Interview Question/Stratascratch (Python)/Easy/Spotify,10
Python/Interview Question/Stratascratch (Python)/Easy/City of Los Angeles,10
Python/Interview Question/Stratascratch (Python)/Easy/Forbes,10
Interview Question/StrataScratch/Advanced Scenarios & Complex Logic/Multi-Step Logic with CTEs,10
Movement/DP 700 Professional Certification/Module 1 - Ingest Data With Fabric/Chapter 1.3 - Use Apache Spark in Microsoft Fabric,10
"Interview Question/StrataScratch/Comparisons, Differences & Percentage Change/Calculating Growth & Difference",10
Movement/DP 700 Professional Certification/Module 1 - Ingest Data With Fabric/Chapter 1.4 - Get Started With Real-Time Intelligence In Microsoft Fabric,10
Interview Question/Leet Code (SQL)/Chapter 9/9.4,10
Python/Projects/Easy/Business Analysis,9
Python/Projects/Medium/Business Analysis,9
Movement/DP 700 Professional Certification/Module 2 - Implement a Lakehouse with Microsoft Fabric/Chapter 2.3 Work with Delta Lake tables in Microsoft Fabric,9
Python/Interview Question/Stratascratch (Python)/Easy/Yelp,9
"Interview Question/StrataScratch/Joins, Subqueries & Set Logic/Set Operations (UNION, EXCEPT)",9
Python/Interview Question/Stratascratch (Python)/Medium/DoorDash,9
SOPs of Power BI/1. Data Source Connectivity & Governance SOP/1.1 Data Source Registration & Approval,8
Movement/DP 700 Professional Certification/Module 4 - Implement a data warehouse with Microsoft Fabric/Chapter 4.1 - Query a data warehouse in Microsoft Fabric,8
Movement/DP 700 Professional Certification/Module 4 - Implement a data warehouse with Microsoft Fabric/Chapter 4.3 - Secure a Microsoft Fabric data warehouse,8
Interview Question/StrataScratch/Basic Filtering & Selection/Numeric & Range Filtering,8
Python/Interview Question/Stratascratch (Python)/Medium/Uber,8
Python/Interview Question/Stratascratch (Python)/Hard/Wine Magazine,8
Interview Question/Leet Code (SQL)/Chapter 1/1.2 String Pattern Matching & Validation,8
VST Tillers Training Session,8
SQL Interview Prep/6. Cheat Sheet,8
Movement/DP 700 Professional Certification/Module 2 - Implement a Lakehouse with Microsoft Fabric/Chapter 2.4 Organize a Fabric lakehouse using medallion architecture design,8
Movement/DP 700 Professional Certification/Module 1 - Ingest Data With Fabric/Chapter 1.1 - Ingest Data With Microsoft Fabric,8
Movement/DP 700 Professional Certification/Module 5 - Manage a Microsoft Fabric environment/Chapter 5.4 - Manage a Microsoft Fabric environment/Chapter 7.1 Implement continuous integration and continuous delivery (CI-CD) in Microsoft Fabric,8
"Interview Question/StrataScratch/Comparisons, Differences & Percentage Change/Calculating Ratios & Percentages",8
Projects/Data Engineering Projects/Workout,8
Projects/Data Engineering Projects/Item Types,8
Interview Question/Leet Code (SQL)/Chapter 10/10.1,7
Interview Question/Leet Code (SQL)/Chapter 13/13.10,7
Analyze/Me/Letters To Ani/What I Admire About You,7
Projects/Forage Documentation,7
Projects/To-Do,7
Projects/To-Do/Kotlin Google Developers/Unit 2- Get User Input Part I/Get User Input in an App -Part 2,7
Movement/DP 700 Professional Certification/Module 4 - Implement a data warehouse with Microsoft Fabric/Chapter 4.2 - Monitor a Microsoft Fabric data warehouse,7
Python/Algorithm Problems/Meta/Medium,7
Python/Interview Question/Stratascratch (Python)/Medium/Forbes,7
Movement/DP 700 Professional Certification/Module 3 - Implement Real-Time Intelligence with Microsoft Fabric/Chapter 3.1 - Create Real-Time Dashboards with Microsoft Fabric,7
Python/Interview Question/Stratascratch (Python)/Easy/Uber,7
Movement/DP 700 Professional Certification/Module 1 - Ingest Data With Fabric/Chapter 1.5 - Use Real-Time Eventstreams in Microsoft Fabric,7
Movement/DP 700 Professional Certification/Module 5 - Manage a Microsoft Fabric environment/Chapter 5.3 - Administer a Microsoft Fabric environment,7
Movement/DP 700 Professional Certification/Module 5 - Manage a Microsoft Fabric environment/Chapter 5.2 - Secure data access in Microsoft Fabric,7
Movement/DP 700 Professional Certification/Module 1 - Ingest Data With Fabric/Chapter 1.2 - Orchestrate Process & Data Movement With Microsoft Fabric,7
Movement/DP 700 Professional Certification/Module 1 - Ingest Data With Fabric/Chapter 1.6 - Work With Real Time Data in a Microsoft Fabric Eventhouse,7
Movement/DP 700 Professional Certification/Module 2 - Implement a Lakehouse with Microsoft Fabric/Chapter 2.2 Get started with lakehouses in Microsoft Fabric,7
Movement/DP 700 Professional Certification/Module 5 - Manage a Microsoft Fabric environment/Chapter 5.1 - Monitor activities in Microsoft Fabric,7
Interview Question/Leet Code (SQL)/Chapter 10/10.2,7
Interview Question/StrataScratch/Date & Time Analysis/Time-based Aggregations,7
Python/Interview Question/Stratascratch (Python)/Medium/Lyft,6
SOPs of Power BI/1. Data Source Connectivity & Governance SOP/1.3 Credential & Authentication Management,6
Projects/Data Engineering Projects/Projects/Binaryville/2. Project Setup,6
Interview Question/Leet Code (SQL)/Chapter 2/2.1 GROUP BY with COUNT,6
Projects/Certifications/Purchase/Advanced Corporate Strategy/Course Layout,6
SQL Interview Prep/Topics/Introduction to SQL/SQL 101,6
"Projects/To-Do/Kotlin Google Developers/Unit 6- Data Persistence/Introduction to SQL, Room and Flow/Use Room For Data Persistance",6
Python/Algorithm Problems/Meta/Easy,6
Projects/PL -300 Certification/Modules,6
Interview Question/StrataScratch/Aggregations & Group By/Filtering Aggregates (HAVING),6
Movement/DP 700 Professional Certification/Module 2 - Implement a Lakehouse with Microsoft Fabric/Chapter 2.1 Introduction to end-to-end analytics using Microsoft Fabric,6
Python/Interview Question/Stratascratch (Python)/Easy/Apple,6
Projects/Forage Documentation/CommBank,6
Analyze/Me/Letters To Ani/The Journey of Us,6
Python/Interview Question/Stratascratch (Python)/Medium/Spotify,6
Interview Question/Leet Code (SQL)/Chapter 11/11.3,6
SOPs of Power BI/3. DAX Development Standards SOP/3.5 Common Calculation Patterns,6
Interview Question/Leet Code (SQL)/Chapter 1/1.1 Simple SELECT with WHERE,6
Interview Question/Leet Code (SQL)/Chapter 10/10.5,6
SOPs of Power BI/4. Report Design & UX Standards SOP/4.3 Layout & Navigation Standards,6
Interview Question/Leet Code (SQL)/Chapter 9/9.6,6
Python/Interview Question/Stratascratch (Python)/Hard/ESPN,6
"Interview Question/StrataScratch/Advanced Scenarios & Complex Logic/Advanced Statistics (Median, Variance)",6
Interview Question/Leet Code (SQL)/Chapter 9/9.5,6
Python/Interview Question/Stratascratch (Python)/Medium/Asana,6
Python/Interview Question/Stratascratch (Python)/Hard/Uber,6
Interview Question/Leet Code (SQL)/Chapter 13/13.4,6
SQL Interview Prep/Topics/Window Functions (Advanced),6
Interview Question/Leet Code (SQL)/Chapter 11/11.1,6
Interview Question/Leet Code (SQL)/Chapter 10/10.9,6
Interview Question/Leet Code (SQL)/Chapter 11/11.4,6
Interview Question/Leet Code (SQL)/Chapter 9/9.3,6
Python/Interview Question/Stratascratch (Python)/Medium/Yelp,6
Analyze/Me/Letters To Ani/Looking Inwards,5
Interview Question/Leet Code (SQL)/Chapter 13/13.8,5
Interview Question/Leet Code (SQL)/Chapter 5/5.1 ROW_NUMBER & RANK Functions,5
Email Out Reach/CFO,5
Analyze/Me/Letters To Ani/Why Her,5
SOPs of Power BI/4. Report Design & UX Standards SOP/4.1 Branding & Visual Identity,5
SOPs of Power BI/3. DAX Development Standards SOP/3.1 Measure Naming Conventions,5
SOPs of Power BI/2. Data Modeling Standards SOP/2.6 Row-Level Security (RLS) Implementation,5
Python/Projects/Hard/NLP,5
Interview Question/Leet Code (SQL)/Chapter 13/13.3,5
